File Name,Class 1,Class 2
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w35000000.npy,3,2
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w36000000.npy,5,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w37000000.npy,5,2
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w38000000.npy,2,4
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w39000000.npy,5,5
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w4000000.npy,5,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w40000000.npy,3,5
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w41000000.npy,2,4
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w42000000.npy,6,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w43000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w44000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w45000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w46000000.npy,3,5
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w47000000.npy,6,2
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w48000000.npy,4,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w49000000.npy,4,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w5000000.npy,5,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w50000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w51000000.npy,2,4
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w52000000.npy,5,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w53000000.npy,2,4
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w54000000.npy,2,4
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w55000000.npy,5,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w56000000.npy,6,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w57000000.npy,4,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w58000000.npy,2,4
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w59000000.npy,2,4
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w6000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w60000000.npy,3,5
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w61000000.npy,1,1
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w62000000.npy,1,1
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w7000000.npy,2,6
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w8000000.npy,5,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w9000000.npy,4,3
